State,"Compensation of Employees (i.e. Wages and Salaries, Benefits in kind, Employers' social insurance contribution) (Euro Million)",71797,78540,80727,73628,68793,69711,69406,70659,73085,76719
State,Income of Self Employed (Euro Million),13421,14349,13101,10682,10267,9673,9239,9329,9780,10057
State,Rent of dwellings (including imputed rent of owner-occupied dwellings) (Euro Million),3344,5550,8218,5490,6593,6799,7249,7322,7830,8625
State,Net Interest and Dividends (payments by households of interest are deducted from interest received by households) (Euro Million),2530,1095,60,1514,1287,502,3316,3204,3105,3971
State,Primary Income (Euro Million),91092,99535,102106,91314,86940,86685,89211,90513,93800,99371
State,Social Benefits and Other Current Transfers (Euro Million),18790,20643,23839,25409,25687,25424,26055,25234,24806,24507
State,Total Household Income (Euro Million),110437,119923,127216,119410,113139,112526,115889,114415,117030,123757
State,Total Income per Person (Euro),26090,27406,28364,26340,24840,24596,25273,24910,25388,26698
State,Index of Total Income per Person (State=100),100,100,100,100,100,100,100,100,100,100
State,Current Taxes on Income (Euro Million),25704,27805,26211,25005,24057,26110,26797,27613,28228,29500
State,Disposable Household Income (Euro Million),84733,92118,101004,94405,89082,86416,89092,86801,88802,94257
State,Disposable Income per Person (Euro),20018,21052,22520,20824,19558,18889,19429,18898,19265,20334
State,Index of Disposable Income per Person (State=100),100,100,100,100,100,100,100,100,100,100
State,Disposable Income per Person (excluding Rent) (Euro),19059,19783,20688,19613,18110,17403,17848,17304,17566,18473
State,Index of Disposable Income per Person (excluding Rent) (State=100),100,100,100,100,100,100,100,100,100,100
West,"Compensation of Employees (i.e. Wages and Salaries, Benefits in kind, Employers' social insurance contribution) (Euro Million)",5880,6339,6635,6166,5885,5693,5760,5729,5847,6005
West,Income of Self Employed (Euro Million),1364,1400,1330,1128,1014,923,907,846,886,946
West,Rent of dwellings (including imputed rent of owner-occupied dwellings) (Euro Million),288,485,720,482,579,579,634,642,686,757
West,Net Interest and Dividends (payments by households of interest are deducted from interest received by households) (Euro Million),216,92,5,131,112,42,282,265,254,321
West,Primary Income (Euro Million),7748,8315,8690,7906,7590,7237,7583,7482,7673,8028
West,Social Benefits and Other Current Transfers (Euro Million),1856,2051,2371,2536,2555,2511,2541,2464,2425,2385
West,Total Household Income (Euro Million),9651,10345,11169,10675,10190,9783,10178,9836,9969,10404
West,Total Income per Person (Euro),23499,24527,25901,24468,23250,22032,22867,22061,22281,23123
West,Index of Total Income per Person (State=100),90.1,89.5,91.3,92.9,93.6,89.6,90.5,88.6,87.8,86.6
West,Current Taxes on Income (Euro Million),1961,2107,2003,1970,1910,1984,2061,2114,2165,2226
West,Disposable Household Income (Euro Million),7690,8238,9166,8706,8280,7800,8117,7721,7805,8177
West,Disposable Income per Person (Euro),18724,19533,21256,19953,18891,17565,18236,17319,17443,18174
West,Index of Disposable Income per Person (State=100),93.5,92.8,94.4,95.8,96.6,93,93.9,91.6,90.5,89.4
West,Disposable Income per Person (excluding Rent) (Euro),17928,18384,19585,18848,17571,16259,16810,15881,15911,16493
West,Index of Disposable Income per Person (excluding Rent) (State=100),94.1,92.9,94.7,96.1,97,93.4,94.2,91.8,90.6,89.3
Border,"Compensation of Employees (i.e. Wages and Salaries, Benefits in kind, Employers' social insurance contribution) (Euro Million)",6421,7065,7239,6670,6218,6144,5863,5975,6131,6509
Border,Income of Self Employed (Euro Million),1289,1365,1220,1009,947,871,898,856,905,937
Border,Rent of dwellings (including imputed rent of owner-occupied dwellings) (Euro Million),267,455,685,462,556,551,611,620,663,731
Border,Net Interest and Dividends (payments by households of interest are deducted from interest received by households) (Euro Million),229,99,5,137,116,44,285,273,264,340
Border,Primary Income (Euro Million),8206,8984,9149,8278,7838,7610,7656,7724,7962,8518
Border,Social Benefits and Other Current Transfers (Euro Million),2226,2472,2878,3084,3115,3093,3162,3060,2999,2965
Border,Total Household Income (Euro Million),10482,11432,12141,11606,10998,10739,10872,10670,10827,11473
Border,Total Income per Person (Euro),22330,23614,24376,22878,21482,20919,21127,20701,20930,22055
